stimulus,trials_id,acc,correct_response,decision,rt,decision_2,rt_type2,stim,response,rating
../data/img/sub_test/square/square96-0.65_2.png,278,1,Bad,坏人,1198,正确,1225,0,0,2
../data/img/sub_test/triangle/triangle43-0.65_2.png,279,1,Good,好人,942,正确,1168,1,1,2
../data/img/sub_test/circle/circle91-0.65_1.png,280,1,No_info,常人,1323,正确,1214,0,0,2
../data/img/sub_test/triangle/triangle34-0.65_1.png,282,0,Good,常人,820,错误,1237,1,0,1
../data/img/sub_test/circle/circle21-0.65_1.png,283,1,No_info,常人,1094,正确,1012,0,0,2
../data/img/sub_test/triangle/triangle81-0.65_4.png,284,1,Good,好人,898,正确,1068,1,1,2
../data/img/sub_test/square/square13-0.65_3.png,285,1,Bad,坏人,1441,正确,1090,0,0,2
../data/img/sub_test/square/square76-0.65_4.png,286,1,Bad,坏人,1419,正确,1440,0,0,2
../data/img/sub_test/triangle/triangle46-0.65_5.png,287,1,Good,好人,818,正确,831,1,1,2
../data/img/sub_test/triangle/triangle74-0.65_5.png,289,1,Good,好人,1134,正确,850,1,1,2
../data/img/sub_test/triangle/triangle77-0.65_5.png,290,1,Good,好人,1252,正确,1036,1,1,2
../data/img/sub_test/circle/circle56-0.65_4.png,291,1,No_info,常人,1328,正确,1388,0,0,2
../data/img/sub_test/circle/circle14-0.65_2.png,292,1,No_info,常人,800,错误,1272,0,0,1
../data/img/sub_test/square/square33-0.65_2.png,293,0,Bad,常人,1405,错误,1373,0,0,1
../data/img/sub_test/triangle/triangle25-0.65_2.png,294,1,Good,好人,1195,正确,967,1,1,2
../data/img/sub_test/circle/circle57-0.65_5.png,295,1,No_info,常人,949,错误,1260,0,0,1
../data/img/sub_test/triangle/triangle59-0.65_5.png,296,0,Good,常人,1249,正确,1101,1,0,2
../data/img/sub_test/triangle/triangle57-0.65_4.png,297,1,Good,好人,1133,正确,935,1,1,2
../data/img/sub_test/square/square53-0.65_4.png,298,1,Bad,坏人,1069,正确,1011,0,0,2
../data/img/sub_test/triangle/triangle46-0.65_3.png,299,1,Good,好人,1071,错误,1159,1,1,1
../data/img/sub_test/triangle/triangle94-0.65_4.png,300,1,Good,好人,1084,正确,923,1,1,2
../data/img/sub_test/square/square41-0.65_5.png,301,1,Bad,坏人,935,正确,875,0,0,2
../data/img/sub_test/circle/circle46-0.65_1.png,303,1,No_info,常人,775,正确,1304,0,0,2
../data/img/sub_test/circle/circle67-0.65_5.png,304,1,No_info,常人,1152,正确,944,0,0,2
../data/img/sub_test/circle/circle98-0.65_2.png,305,1,No_info,常人,1191,正确,1147,0,0,2
../data/img/sub_test/circle/circle24-0.65_3.png,306,1,No_info,常人,858,正确,898,0,0,2
../data/img/sub_test/triangle/triangle95-0.65_1.png,308,0,Good,坏人,1206,错误,1127,1,0,1
../data/img/sub_test/square/square65-0.65_3.png,309,1,Bad,坏人,1033,正确,1067,0,0,2
../data/img/sub_test/circle/circle50-0.65_2.png,310,1,No_info,常人,1084,正确,877,0,0,2
../data/img/sub_test/circle/circle81-0.65_2.png,311,1,No_info,常人,959,正确,1214,0,0,2
../data/img/sub_test/circle/circle5-0.65_1.png,312,0,No_info,好人,1176,错误,1001,0,1,1
../data/img/sub_test/circle/circle79-0.65_4.png,313,1,No_info,常人,1142,正确,809,0,0,2
../data/img/sub_test/square/square95-0.65_4.png,314,0,Bad,常人,1258,错误,1305,0,0,1
../data/img/sub_test/triangle/triangle81-0.65_5.png,316,1,Good,好人,994,正确,878,1,1,2
../data/img/sub_test/square/square34-0.65_1.png,317,1,Bad,坏人,1238,正确,880,0,0,2
../data/img/sub_test/square/square54-0.65_4.png,318,1,Bad,坏人,1366,正确,989,0,0,2
../data/img/sub_test/circle/circle42-0.65_3.png,319,1,No_info,常人,951,正确,764,0,0,2
../data/img/sub_test/circle/circle41-0.65_4.png,320,1,No_info,常人,1035,正确,808,0,0,2
../data/img/sub_test/triangle/triangle37-0.65_5.png,321,1,Good,好人,1223,正确,900,1,1,2
../data/img/sub_test/circle/circle61-0.65_2.png,322,1,No_info,常人,1071,正确,940,0,0,2
../data/img/sub_test/square/square17-0.65_3.png,323,0,Bad,常人,750,正确,1205,0,0,2
../data/img/sub_test/circle/circle69-0.65_3.png,324,0,No_info,坏人,1482,错误,1156,0,0,1
../data/img/sub_test/square/square79-0.65_1.png,325,0,Bad,常人,1219,正确,1150,0,0,2
../data/img/sub_test/triangle/triangle25-0.65_1.png,326,0,Good,常人,1201,错误,1068,1,0,1
../data/img/sub_test/triangle/triangle52-0.65_1.png,327,1,Good,好人,1045,正确,877,1,1,2
../data/img/sub_test/triangle/triangle58-0.65_4.png,328,1,Good,好人,1345,正确,1035,1,1,2
../data/img/sub_test/triangle/triangle68-0.65_3.png,329,1,Good,好人,965,正确,1226,1,1,2
../data/img/sub_test/circle/circle87-0.65_5.png,330,0,No_info,坏人,1265,错误,1155,0,0,1
../data/img/sub_test/square/square17-0.65_5.png,332,1,Bad,坏人,1447,错误,1000,0,0,1
